date;time;notes;name;lat;lon;comment
2013-03-19;17:26:22;0;login;46.6681006;15.4602839;5
2013-03-19;17:26:23;0;logout;0;0;-
2013-03-19;20:08:58;0;login;46.6874159;15.3341708;5
2013-03-19;20:08:59;0;logout;0;0;-
2013-03-23;09:53:58;0;login;46.718341679;15.5524402899;5
2013-03-23;09:54:25;0;update;46.7187822167;15.5523671665;5
2013-03-23;09:54:27;0;update;46.718980874;15.5526133459;5
2013-03-23;10:04:53;0;update;46.7213151;15.5575563;5
2013-03-23;10:14:54;0;update;46.7209042;15.5551268;5
2013-03-23;10:24:55;0;update;46.7213151;15.5575563;5
2013-03-23;10:34:55;0;update;46.7213151;15.5575563;5
2013-03-23;10:44:55;0;update;46.7209042;15.5551268;5
2013-03-23;10:54:56;0;update;46.7204933;15.5526974;5
2013-03-23;10:56:36;0;update;46.7209042;15.5551268;5
2013-03-23;10:59:30;0;update;46.7189436205;15.5525165237;5
2013-03-23;10:59:37;0;update;46.7188962887;15.5525986372;5
2013-03-23;11:00:08;0;update;46.7188177339;15.552665821;5
2013-03-23;11:00:18;0;update;46.7187883746;15.5527951079;5
2013-03-23;11:00:28;0;update;46.7188107486;15.552918049;5
2013-03-23;11:05:15;0;update;46.7189415688;15.5520457991;5
2013-03-23;11:05:21;0;update;46.7191981924;15.5525663267;5
2013-03-23;11:05:36;0;update;46.7191392819;15.5526611741;5
2013-03-23;11:05:50;0;update;46.7190240354;15.5527346783;5
2013-03-23;11:06:03;0;update;46.7189316935;15.55264316;5
2013-03-23;11:13:37;0;update;46.7188070892;15.5526843155;5
2013-03-23;11:13:48;0;update;46.7187408482;15.5525266745;5
2013-03-23;11:13:58;0;update;46.7187347269;15.552482432;5
2013-03-23;11:14:10;0;update;46.7186917587;15.5525082026;5
2013-03-23;11:14:27;0;update;46.7187362946;15.5525727548;5
2013-03-23;11:21:00;0;update;46.718873351;15.5532823558;5
2013-03-23;11:22:44;0;update;46.7203367352;15.5542892706;5
2013-03-23;11:23:03;0;update;46.7189076992;15.5536443692;5
2013-03-23;11:23:30;0;update;46.7187061381;15.5536149888;5
2013-03-23;11:25:32;0;update;46.7189763028;15.5532411139;5
2013-03-23;11:25:36;0;update;46.7189642119;15.5532330864;5
2013-03-23;11:26:09;0;update;46.7189827935;15.5530217211;5
2013-03-23;11:26:18;0;update;46.7189825228;15.5529870996;5
2013-03-23;11:26:46;0;update;46.7193050499;15.5527569072;5
2013-03-23;11:27:04;0;update;46.7193338319;15.5528670065;5
2013-03-23;11:27:15;0;update;46.7192212177;15.5528264141;5
2013-03-23;11:27:24;0;update;46.7191576931;15.5527326513;5
2013-03-23;11:30:16;0;update;46.7192546096;15.5523105887;5
2013-03-23;11:32:51;0;update;46.7188220195;15.5527146664;5
2013-03-23;11:33:13;0;update;46.7186560318;15.5526320161;5
2013-03-23;11:36:58;0;update;46.7189951171;15.5534172168;5
2013-03-23;11:39:15;0;update;46.7191042855;15.5519179582;5
2013-03-23;11:41:57;0;update;46.71907739;15.5526395281;5
2013-03-23;11:42:20;0;update;46.7190665444;15.5526826259;5
2013-03-23;11:44:24;0;update;46.7183010505;15.5533785612;5
2013-03-23;11:47:46;0;update;46.7185027227;15.5529330254;5
2013-03-23;11:47:55;0;update;46.7185344361;15.5528491032;5
2013-03-23;11:52:43;0;update;46.7193174231;15.5531157513;5
2013-03-23;11:54:45;0;login;46.7193997371;15.5523620376;5
2013-03-23;11:57:58;0;update;46.7198228751;15.5529546874;5
2013-03-23;11:59:12;0;update;46.7178259386;15.5526338593;5
2013-03-23;11:59:32;0;update;46.7188108486;15.5529102385;5
2013-03-23;12:00:13;0;update;46.7195485053;15.55201159;5
2013-03-23;12:00:33;0;update;46.7192275375;15.5523655172;5
2013-03-23;12:00:48;0;update;46.7190829897;15.552590495;5
2013-03-23;12:00:54;0;update;46.7190864685;15.5526020391;5
2013-03-23;12:01:07;0;update;46.7189417917;15.5527471598;5
2013-03-23;12:01:20;0;update;46.7188448647;15.5528385391;5
2013-03-23;12:04:24;0;update;46.7191659568;15.5532356701;5
2013-03-23;12:04:30;0;update;46.7190491554;15.553062157;5
2013-03-23;12:04:38;0;update;46.7189678011;15.5529400813;5
2013-03-23;12:05:00;0;update;46.7189038335;15.5528339882;5
2013-03-23;12:05:12;0;update;46.7188509081;15.552838575;5
2013-03-23;12:05:52;0;update;46.718728053;15.5528146365;5
2013-03-23;12:06:01;0;update;46.7186591264;15.5528167429;5
2013-03-23;12:07:12;0;update;46.7196682204;15.5538781428;5
2013-03-23;12:09:57;0;update;46.718908591;15.5539687192;5
2013-03-23;12:11:31;0;update;46.7183637746;15.5527651787;5
2013-03-23;12:12:38;0;update;46.718927919;15.5526150443;5
2013-03-23;12:12:45;0;update;46.7189173253;15.5525712037;5
2013-03-23;12:13:08;0;update;46.718969426;15.5526522381;5
2013-03-23;12:13:23;0;update;46.7188719213;15.5527612878;5
2013-03-23;12:13:31;0;update;46.7188478493;15.5527577738;5
2013-03-23;12:13:50;0;update;46.7187702268;15.5527037828;5
2013-03-23;12:16:04;0;update;46.7185704949;15.5525138162;5
2013-03-23;12:16:09;0;update;46.7185483648;15.5525747545;5
2013-03-23;12:16:23;0;update;46.7185888095;15.5525952143;5
2013-03-23;12:22:55;0;update;46.7192729285;15.5540208176;5
2013-03-23;12:32:56;0;update;46.7204933;15.5526974;5
2013-03-23;12:33:16;0;update;46.7209042;15.5551268;5
2013-03-23;12:42:37;0;update;46.718356232;15.5536948824;5
2013-03-23;12:43:10;0;update;46.7182697769;15.5530819725;5
2013-03-23;12:43:16;0;update;46.7183772054;15.5530481668;5
2013-03-23;12:43:24;0;update;46.7185655158;15.5530309112;5
2013-03-23;12:49:54;0;update;46.7188325982;15.5527742709;5
2013-03-23;12:49:57;0;update;46.7188320548;15.5527381648;5
2013-03-23;12:51:22;0;update;46.7187891431;15.5527556051;5
2013-03-23;13:01:37;0;update;46.7213151;15.5575563;5
2013-03-23;13:11:39;0;update;46.7213151;15.5575563;5
2013-03-18;19:04:19;153;login;47.0961985;15.3968273;5
2013-03-18;19:04:32;153;update;47.0955164973;15.3957037658;5
2013-03-18;19:04:43;153;update;47.0955164973;15.3957037658;5
