date;time;notes;name;lat;lon;comment
2013-03-24;09:52:05;185;login;46.6768773;15.4146359;5
2013-03-24;09:52:12;185;update;46.6827701028;15.4143824231;5
2013-03-24;09:52:22;185;update;46.6827701028;15.4143824231;5
2013-03-24;09:52:28;185;update;46.6827701028;15.4143824231;5
2013-03-24;09:55:16;185;update;46.6827701028;15.4143824231;5
2013-03-24;09:57:12;185;update;46.6827067257;15.4144324692;5
2013-03-24;09:57:44;185;update;46.6827067257;15.4144324692;5
2013-03-24;09:58:53;185;update;46.6827116998;15.4144341059;5
2013-03-24;10:02:03;185;update;46.6827940433;15.4143904897;5
2013-03-24;10:02:18;185;update;46.682790432;15.4143963911;5
2013-03-24;10:03:08;185;update;46.6827324592;15.4144187611;5
2013-03-24;10:03:45;185;update;46.6827107245;15.41444172;5
2013-03-24;10:08:24;185;update;46.6827350035;15.4144960037;5
2013-03-24;10:08:55;185;update;46.6827350038;15.4144960046;5
2013-03-24;10:09:51;185;update;46.6826283578;15.4145430089;5
2013-03-24;10:09:59;185;update;46.6826135246;15.4145198856;5
2013-03-24;10:10:24;185;update;46.6826034313;15.4144977193;5
2013-03-24;10:12:27;185;update;46.6826017468;15.4144887046;5
2013-03-24;10:14:59;185;update;46.6826135848;15.4144472329;5
2013-03-24;10:16:47;185;update;46.6826756535;15.4144643242;5
2013-03-24;10:17:46;185;update;46.6826779433;15.4144019339;5
2013-03-24;10:18:23;185;update;46.6826535786;15.4143692593;5
2013-03-24;10:22:20;185;update;46.6826999029;15.4144382787;5
2013-03-24;10:22:45;185;update;46.6827249617;15.4144947862;5
2013-03-24;10:23:28;185;update;46.6827075756;15.4145323628;5
2013-03-24;10:26:55;185;update;46.6827181965;15.4144668024;5
2013-03-24;10:27:37;185;update;46.6827160263;15.4144577124;5
2013-03-24;10:28:56;185;update;46.6826816668;15.4144327395;5
2013-03-24;10:30:02;185;update;46.6826316426;15.4143538935;5
2013-03-24;10:30:05;185;update;46.6825973786;15.4142747033;5
2013-03-24;10:30:25;185;update;46.6825377353;15.4142846658;5
2013-03-24;10:30:32;185;update;46.6825353107;15.4143213013;5
2013-03-24;10:31:39;185;update;46.6825867879;15.4143059937;5
2013-03-24;10:34:32;185;update;46.6826000156;15.4142616218;5
2013-03-24;10:35:05;185;update;46.6826063648;15.4142669467;5
2013-03-24;10:40:55;185;update;46.6826247294;15.4143628965;5
2013-03-24;10:41:16;185;update;46.68262473;15.4143628984;5
2013-03-24;10:41:49;185;update;46.6826175372;15.4143731275;5
2013-03-24;10:42:00;185;update;46.6826175372;15.4143731275;5
2013-03-24;10:44:42;185;update;46.6826401248;15.4144122337;5
2013-03-24;10:45:36;185;update;46.6826676691;15.4143653899;5
2013-03-24;10:46:13;185;update;46.6826230517;15.4144154185;5
2013-03-24;10:48:30;185;update;46.6826214354;15.4143993571;5
2013-03-24;10:49:15;185;update;46.6826434891;15.4143305298;5
2013-03-24;10:49:28;185;update;46.6826543846;15.4143360215;5
2013-03-24;10:50:05;185;update;46.6825737347;15.4143320955;5
2013-03-24;10:50:19;185;update;46.6826373379;15.4143210402;5
2013-03-24;10:51:08;185;update;46.6826170122;15.4143658748;5
2013-03-24;10:52:35;185;update;46.6826839119;15.4144000988;5
2013-03-24;10:53:00;185;update;46.6826791149;15.4143181832;5
2013-03-24;10:53:49;185;update;46.6826249741;15.4142390567;5
2013-03-24;10:53:59;185;update;46.6825044039;15.4142338626;5
2013-03-24;10:54:17;185;update;46.682616827;15.4142232941;5
2013-03-24;10:55:02;185;update;46.6825877148;15.4142055527;5
2013-03-24;10:55:30;185;update;46.6826041695;15.4142757748;5
2013-03-24;10:55:35;185;update;46.6826326565;15.4142310485;5
2013-03-24;10:56:06;185;update;46.682671636;15.4142649513;5
2013-03-24;10:56:50;185;update;46.6826868673;15.4142606748;5
2013-03-24;10:58:50;185;update;46.6826749513;15.4143175309;5
2013-03-24;10:59:40;185;update;46.6826798411;15.4144240129;5
2013-03-24;11:00:46;185;update;46.6827193334;15.4144663529;5
2013-03-24;11:00:57;185;update;46.6827193334;15.4144663529;5
2013-03-24;11:01:43;185;update;46.6826782444;15.4145430886;5
2013-03-24;11:02:46;185;update;46.6826950375;15.4145816969;5
2013-03-24;11:04:38;185;update;46.682692234;15.4144870001;5
2013-03-24;11:04:43;185;update;46.682692234;15.4144870001;5
2013-03-24;11:10:16;185;update;46.6827544756;15.4145546494;5
2013-03-24;11:10:43;185;update;46.6828150172;15.4146018396;5
2013-03-24;11:11:03;185;update;46.6827945669;15.4145459703;5
2013-03-24;11:11:59;185;update;46.6827187412;15.4145408868;5
2013-03-24;11:12:10;185;update;46.6827187412;15.4145408868;5
2013-03-24;11:15:16;185;update;46.6826507308;15.4144465519;5
2013-03-24;11:15:50;185;update;46.6826469038;15.4144412827;5
2013-03-24;11:16:06;185;update;46.6826747971;15.4143830543;5
2013-03-24;11:16:54;185;update;46.6827675764;15.4144667899;5
2013-03-24;11:17:04;185;update;46.6827838795;15.4145486243;5
2013-03-24;11:17:30;185;update;46.6827646901;15.4145452441;5
2013-03-24;11:20:43;185;update;46.6827350068;15.4144491168;5
2013-03-24;11:20:54;185;update;46.6827087682;15.414473294;5
2013-03-24;11:21:23;185;update;46.6828017058;15.4144579353;5
2013-03-24;11:21:29;185;update;46.6829014234;15.4144741426;5
2013-03-24;11:21:38;185;update;46.6829520883;15.4144577153;5
2013-03-24;11:21:52;185;update;46.6829410186;15.4144364418;5
2013-03-24;11:22:14;185;update;46.6828775558;15.4144243663;5
2013-03-24;11:22:37;185;update;46.6828294296;15.4144568245;5
2013-03-24;11:23:04;185;update;46.6827738287;15.4144732434;5
2013-03-24;11:23:55;185;update;46.6828372822;15.414527023;5
2013-03-24;11:24:16;185;update;46.6828236074;15.4145566072;5
2013-03-24;11:24:52;185;update;46.6827638101;15.4145398337;5
2013-03-24;11:25:44;185;update;46.6827568164;15.4145423601;5
2013-03-24;11:26:21;185;update;46.6827568164;15.4145423601;5
2013-03-24;11:27:50;185;update;46.68273051;15.4146011991;5
2013-03-24;11:28:13;185;update;46.6827515241;15.4146330293;5
2013-03-24;11:28:48;185;update;46.6827444767;15.4146029037;5
2013-03-24;11:30:59;185;update;46.6827593512;15.4146684673;5
2013-03-24;11:35:34;185;update;46.6827557119;15.414591512;5
2013-03-24;11:36:02;185;update;46.6826827888;15.4145953777;5
2013-03-24;11:36:30;185;update;46.682626164;15.4145733315;5
2013-03-24;11:36:57;185;update;46.6826073527;15.4145670838;5
2013-03-24;11:38:47;185;update;46.682653215;15.414526133;5
2013-03-24;11:38:59;185;update;46.6826656134;15.4145016541;5
2013-03-24;11:39:19;185;update;46.6826725199;15.4144532187;5
2013-03-24;11:41:25;185;update;46.6826535907;15.4144566437;5
2013-03-24;11:50:58;185;update;46.6826990563;15.4145081895;5
2013-03-24;11:51:48;185;update;46.6827284977;15.4144827659;5
2013-03-24;11:52:19;185;update;46.6827084193;15.4144440334;5
2013-03-24;11:56:20;185;update;46.6826560422;15.4144689115;5
2013-03-24;11:56:39;185;update;46.682651245;15.4144632676;5
2013-03-24;11:58:02;185;update;46.6826674445;15.4145029075;5
2013-03-24;11:58:56;185;update;46.6826957267;15.414445498;5
2013-03-24;11:59:21;185;update;46.6827218402;15.4143103084;5
2013-03-24;11:59:28;185;update;46.6827146606;15.4142576392;5
2013-03-24;11:59:47;185;update;46.6827062738;15.4142358732;5
2013-03-24;12:00:05;185;update;46.6827084438;15.4143089458;5
2013-03-24;12:00:47;185;update;46.682663662;15.4143696853;5
2013-03-24;12:03:01;185;update;46.6826330564;15.4143081524;5
2013-03-24;12:03:30;185;update;46.6825607787;15.4142490804;5
2013-03-24;12:03:48;185;update;46.6825693779;15.414264216;5
2013-03-24;12:04:08;185;update;46.6827149881;15.414256874;5
2013-03-24;12:04:41;185;update;46.6826920346;15.4142363661;5
2013-03-24;12:05:41;185;update;46.6827222255;15.414193986;5
2013-03-24;12:05:48;185;update;46.6827175932;15.4141954321;5
2013-03-24;12:06:10;185;update;46.682709631;15.4143347512;5
2013-03-24;12:06:19;185;update;46.6826970765;15.4144849963;5
2013-03-24;12:06:25;185;update;46.6827124203;15.4145739554;5
2013-03-24;12:08:17;185;update;46.6827429044;15.4146852484;5
2013-03-24;12:14:01;185;update;46.6827536908;15.4146242684;5
2013-03-24;12:15:49;185;update;46.6827471634;15.4146939608;5
2013-03-24;12:16:35;185;update;46.6827439164;15.4146928037;5
2013-03-24;12:18:02;185;update;46.682702159;15.414638865;5
2013-03-24;12:18:19;185;update;46.6826781214;15.4145535024;5
2013-03-24;12:18:27;185;update;46.682682316;15.4145628401;5
2013-03-24;12:18:52;185;update;46.6826613794;15.414443868;5
2013-03-24;12:19:03;185;update;46.6826499115;15.4143882139;5
2013-03-24;12:19:17;185;update;46.6826481904;15.4143699045;5
2013-03-24;12:21:17;185;update;46.6826619097;15.4144119365;5
2013-03-24;12:31:17;185;update;46.6826447342;15.4144616549;5
2013-03-24;12:31:50;185;update;46.6826447342;15.4144616549;5
2013-03-24;12:32:26;185;update;46.6826158243;15.4144331008;5
2013-03-24;12:34:13;185;update;46.6826490302;15.4145520746;5
2013-03-24;12:34:32;185;update;46.6826359445;15.4145585862;5
2013-03-24;12:35:44;185;update;46.6826427672;15.4144743978;5
2013-03-24;12:35:58;185;update;46.6826427672;15.4144743978;5
2013-03-24;12:40:51;185;update;46.6826917134;15.4144051346;5
2013-03-24;12:48:26;185;update;46.6825871044;15.4143525273;5
2013-03-24;12:49:05;185;update;46.6825711235;15.4143103135;5
2013-03-24;12:55:43;185;update;46.6825858469;15.4142693779;5
2013-03-24;12:57:17;185;update;46.6826848572;15.4143006642;5
2013-03-24;12:57:38;185;update;46.6826926939;15.4143179395;5
2013-03-24;12:59:45;185;update;46.6826219204;15.4143234366;5
2013-03-24;13:00:45;185;update;46.6825999044;15.4142911378;5
2013-03-24;13:02:53;185;update;46.6826509174;15.4142530315;5
2013-03-24;13:05:33;185;update;46.6826683561;15.4143467845;5
2013-03-24;13:06:03;185;update;46.6826989018;15.4144146117;5
2013-03-24;13:06:54;185;update;46.6826973652;15.4144195714;5
2013-03-24;13:07:47;185;update;46.6826599699;15.4143799403;5
2013-03-24;13:08:33;185;update;46.6827140092;15.4143260767;5
2013-03-24;13:08:50;185;update;46.6827177423;15.4143235535;5
2013-03-24;13:11:55;185;update;46.6826636225;15.4143552964;5
2013-03-24;13:12:42;185;update;46.6826784116;15.4143562076;5
2013-03-24;13:20:09;185;update;46.6826654931;15.4144597589;5
2013-03-24;13:20:43;185;update;46.6827018344;15.4144746269;5
2013-03-24;13:21:25;185;update;46.6826930956;15.4144749892;5
2013-03-24;13:22:32;185;update;46.6827077168;15.4145721056;5
2013-03-24;13:23:52;185;update;46.6827682364;15.4145134389;5
2013-03-24;13:24:00;185;update;46.6827394541;15.414429999;5
2013-03-24;13:24:30;185;update;46.6827345053;15.4143701281;5
2013-03-24;13:27:20;185;update;46.6827322619;15.4143702421;5
2013-03-24;13:37:19;185;update;46.6826740705;15.4144034872;5
2013-03-24;13:38:46;185;update;46.6826074689;15.4144004506;5
2013-03-24;13:39:46;185;update;46.6826661863;15.4144144344;5
2013-03-24;13:40:58;185;update;46.6826372747;15.4143494502;5
2013-03-24;13:41:36;185;update;46.6825291527;15.4143615519;5
2013-03-24;13:41:48;185;update;46.6825286391;15.4143550376;5
2013-03-24;13:42:10;185;update;46.6825125671;15.4142618085;5
2013-03-24;13:42:19;185;update;46.6825005904;15.4142366967;5
2013-03-24;13:47:53;185;update;46.6825420871;15.4142623728;5
2013-03-24;13:47:55;185;update;46.6825898641;15.4143442;5
2013-03-24;13:54:25;185;update;46.6825844977;15.4144783616;5
2013-03-24;13:55:34;185;update;46.6826084348;15.4144544231;5
2013-03-24;13:59:37;185;update;46.6825249136;15.4144825963;5
2013-03-24;13:59:59;185;update;46.6825100818;15.4144741922;5
2013-03-24;14:00:24;185;update;46.6825097942;15.4144546322;5
2013-03-24;14:00:52;185;update;46.6825017431;15.4143749641;5
2013-03-24;14:01:26;185;update;46.6825178702;15.4144449673;5
2013-03-24;14:02:22;185;update;46.6826130482;15.414419896;5
2013-03-24;14:02:30;185;update;46.6826138916;15.4144175979;5
2013-03-24;14:05:01;185;update;46.6826605741;15.4144479914;5
2013-03-24;14:06:03;185;update;46.6826605741;15.4144479914;5
2013-03-24;14:08:32;185;update;46.6827104061;15.4144744708;5
2013-03-24;14:11:08;185;update;46.6826882355;15.4144453099;5
2013-03-24;14:13:40;185;update;46.6826644303;15.4143868396;5
2013-03-24;14:14:10;185;update;46.6826695419;15.4144632746;5
2013-03-24;14:14:43;185;update;46.6827603772;15.4145165435;5
2013-03-24;14:14:57;185;update;46.6827578525;15.4145698425;5
2013-03-24;14:17:20;185;update;46.6827288241;15.4145189315;5
2013-03-24;14:17:38;185;update;46.6827104945;15.4145731713;5
2013-03-24;14:17:51;185;update;46.6826930475;15.4146542972;5
2013-03-24;14:18:10;185;update;46.68269722;15.4147321245;5
2013-03-24;14:18:49;185;update;46.6827313576;15.4146873525;5
2013-03-24;14:19:07;185;update;46.6827848658;15.414664254;5
2013-03-24;14:19:11;185;update;46.6828118167;15.4146810587;5
2013-03-24;14:20:29;185;update;46.6828011265;15.4146958888;5
2013-03-24;14:20:36;185;update;46.6828887028;15.4147035428;5
2013-03-24;14:20:45;185;update;46.6829238473;15.4147949584;5
2013-03-24;14:21:00;185;update;46.6829066803;15.4148523;5
2013-03-24;14:21:08;185;update;46.6829136972;15.4148636511;5
2013-03-24;14:21:51;185;update;46.6828875409;15.4147585661;5
2013-03-24;14:22:10;185;update;46.6828572519;15.4147991615;5
2013-03-24;14:22:18;185;update;46.6828600629;15.4148237362;5
2013-03-24;14:22:38;185;update;46.6828718722;15.4148720443;5
2013-03-24;14:23:03;185;update;46.6828186477;15.4148524793;5
2013-03-24;14:23:23;185;update;46.6829169619;15.4148788524;5
2013-03-24;14:24:15;185;update;46.6829200052;15.4147933044;5
2013-03-24;14:24:30;185;update;46.6830044732;15.4149027038;5
2013-03-24;14:24:48;185;update;46.6830917945;15.4149622147;5
2013-03-24;14:25:30;185;update;46.6830511084;15.4149146631;5
2013-03-24;14:26:39;185;update;46.6829626876;15.4149758583;5
2013-03-24;14:27:02;185;update;46.6829855153;15.4150026276;5
