date;time;notes;name;lat;lon;comment
2013-03-19;09:45:55;153;login;47.0973824;15.3959462;5
2013-03-19;09:46:09;153;update;47.0952535713;15.395659188;5
2013-03-19;09:46:16;153;update;47.0953622835;15.3956889334;5
2013-03-19;09:55:58;153;update;47.0956657253;15.3955162976;5
2013-03-19;09:56:09;153;update;47.09537287;15.3955950715;5
2013-03-19;09:56:22;153;update;47.0952908517;15.3957203004;5
2013-03-19;09:56:34;153;update;47.0951947153;15.3958246846;5
2013-03-19;09:56:56;153;update;47.0952522097;15.395869625;5
2013-03-19;09:57:24;153;update;47.0953628507;15.3958962043;5
2013-03-19;09:57:47;153;update;47.0953834205;15.395817477;5
2013-03-19;09:57:58;153;update;47.0953912432;15.3957307237;5
2013-03-19;09:58:24;153;update;47.0953380526;15.3957834093;5
2013-03-19;09:58:54;153;update;47.0953791185;15.3957501765;5
2013-03-19;09:59:23;153;update;47.0953360457;15.3958159388;5
2013-03-19;09:59:55;153;update;47.0953152792;15.3957294932;5
2013-03-19;10:00:21;153;update;47.0952529253;15.3957522716;5
2013-03-19;10:00:30;153;update;47.0951410719;15.3958189078;5
2013-03-19;10:00:43;153;update;47.0950793994;15.3959013607;5
2013-03-19;10:00:56;153;update;47.0951494963;15.3958938933;5
2013-03-19;10:01:14;153;update;47.0952088865;15.3959076759;5
2013-03-19;10:01:21;153;update;47.0952907934;15.3958628602;5
2013-03-19;10:01:30;153;update;47.0954239159;15.3957688732;5
2013-03-19;10:01:55;153;update;47.0955264697;15.3956720804;5
2013-03-19;10:02:02;153;update;47.0954966352;15.3955525771;5
2013-03-19;10:02:10;153;update;47.0954887504;15.3955411423;5
2013-03-19;10:02:22;153;update;47.0954540042;15.3956040206;5
2013-03-19;10:02:39;153;update;47.0954152765;15.3956376956;5
2013-03-19;10:02:44;153;update;47.0953707764;15.3956697197;5
2013-03-19;10:02:58;153;update;47.0953245076;15.3956983914;5
2013-03-19;10:03:22;153;update;47.0952754207;15.3956628698;5
2013-03-19;10:03:37;153;update;47.095299164;15.3955781129;5
2013-03-19;10:04:03;153;update;47.0953082052;15.3956444429;5
2013-03-19;10:04:36;153;update;47.0952436163;15.3957255539;5
2013-03-19;10:05:28;153;update;47.0953030207;15.3956693347;5
2013-03-19;10:05:39;153;update;47.0953441106;15.3956305127;5
2013-03-19;10:05:58;153;update;47.0953469846;15.3957099797;5
2013-03-19;10:06:03;153;update;47.0953502322;15.3957819267;5
2013-03-19;10:06:26;153;update;47.0954047354;15.3957119871;5
2013-03-19;10:06:56;153;update;47.0954215796;15.395768269;5
2013-03-19;10:07:30;153;update;47.0954121275;15.3956642362;5
2013-03-19;10:07:44;153;update;47.0953733485;15.3956323568;5
2013-03-19;10:08:05;153;update;47.0954041937;15.3957169462;5
2013-03-19;10:08:34;153;update;47.095455938;15.3957769946;5
2013-03-19;10:09:13;153;update;47.0953889789;15.395697994;5
2013-03-19;10:09:33;153;update;47.0954181706;15.3957240452;5
2013-03-19;10:10:00;153;update;47.0954709027;15.3957849115;5
2013-03-19;10:10:26;153;update;47.0954105606;15.3957310695;5
2013-03-19;10:10:54;153;update;47.0953201171;15.3956964093;5
2013-03-19;10:11:21;153;update;47.0953023957;15.3956790856;5
2013-03-19;10:12:00;153;update;47.0953303217;15.395619273;5
2013-03-19;10:12:25;153;update;47.0953455047;15.3957606911;5
2013-03-19;10:12:34;153;update;47.0953669332;15.3957980462;5
2013-03-19;10:12:49;153;update;47.0953297644;15.3957608777;5
2013-03-19;10:13:09;153;update;47.0953214161;15.3956963931;5
2013-03-19;10:13:33;153;update;47.0952796711;15.395657865;5
2013-03-19;10:13:50;153;update;47.095309233;15.395702407;5
2013-03-19;10:14:15;153;update;47.0952604043;15.395732005;5
2013-03-19;10:15:45;153;update;47.0953915055;15.3956882035;5
2013-03-19;10:15:56;153;update;47.0954030071;15.3957711692;5
2013-03-19;10:16:01;153;update;47.0954749292;15.3957712842;5
2013-03-19;10:16:09;153;update;47.0955142974;15.3957254327;5
2013-03-19;10:16:16;153;update;47.0955663773;15.3956880311;5
2013-03-19;10:16:28;153;update;47.0956227076;15.3956353034;5
2013-03-19;10:17:01;153;update;47.0957478514;15.3956210913;5
2013-03-19;10:17:10;153;update;47.0958370784;15.3956836846;5
2013-03-19;10:17:17;153;update;47.0959243204;15.3957474974;5
2013-03-19;10:17:33;153;update;47.0960295667;15.3959350244;5
2013-03-19;10:17:39;153;update;47.0960783321;15.3959269539;5
2013-03-19;10:17:52;153;update;47.0959703512;15.3957984444;5
2013-03-19;10:18:10;153;update;47.0958177538;15.3958991808;5
2013-03-19;10:18:20;153;update;47.0955803711;15.395840477;5
2013-03-19;10:18:28;153;update;47.0961985;15.3968273;5
2013-03-19;10:18:52;153;update;47.0961985;15.3968273;6
