date;time;notes;name;lat;lon;comment
2013-03-23;21:59:13;185;login;46.7942855481;15.5294298965;5
2013-03-23;21:59:19;185;update;46.7942855481;15.5294298965;5
2013-03-23;21:59:28;185;update;46.7941987849;15.5293473078;5
2013-03-23;21:59:33;185;update;46.7938989871;15.5288009843;5
2013-03-23;21:59:38;185;update;46.7934624133;15.5278431512;5
2013-03-23;21:59:44;185;update;46.7927965468;15.5263839885;5
2013-03-23;21:59:50;185;update;46.7920024248;15.5246573135;5
2013-03-23;21:59:55;185;update;46.7912876482;15.5231183298;5
2013-03-23;22:00:01;185;update;46.7904268281;15.5212406432;5
2013-03-23;22:00:06;185;update;46.789600047;15.5197676042;5
2013-03-23;22:00:11;185;update;46.7887718546;15.5184957962;5
2013-03-23;22:00:17;185;update;46.7873688484;15.517624659;5
2013-03-23;22:00:23;185;update;46.7858317536;15.5169884086;5
2013-03-23;22:00:28;185;update;46.7846029356;15.5167859225;5
2013-03-23;22:00:34;185;update;46.7832007277;15.5168030828;5
2013-03-23;22:00:40;185;update;46.7820595312;15.5177601994;5
2013-03-23;22:00:45;185;update;46.7811992767;15.518562183;5
2013-03-23;22:01:08;185;update;46.780134076;15.519130804;5
2013-03-23;22:01:16;185;update;46.7792809797;15.5191225133;5
2013-03-23;22:01:16;185;update;46.7785547879;15.517799073;5
2013-03-23;22:01:17;185;update;46.7785844542;15.5159881929;5
2013-03-23;22:01:17;185;update;46.7784934245;15.5141067825;5
2013-03-23;22:01:20;185;update;46.7782404058;15.512234588;5
2013-03-23;22:01:25;185;update;46.7778267476;15.51077059;5
2013-03-23;22:01:31;185;update;46.7771783696;15.5096425836;5
2013-03-23;22:01:36;185;update;46.776502026;15.5088573297;5
2013-03-23;22:01:42;185;update;46.7757865242;15.5075583029;5
2013-03-23;22:01:47;185;update;46.7749685453;15.506921172;5
2013-03-23;22:01:53;185;update;46.7735596147;15.5069709961;5
2013-03-23;22:01:58;185;update;46.7723035197;15.5066023059;5
2013-03-23;22:02:04;185;update;46.7709734076;15.5054114318;5
2013-03-23;22:02:10;185;update;46.7700413707;15.503665206;5
2013-03-23;22:02:16;185;update;46.7691055911;15.5021655877;5
2013-03-23;22:02:21;185;update;46.7679676871;15.5016485363;5
2013-03-23;22:02:27;185;update;46.766988768;15.5004940658;5
2013-03-23;22:02:32;185;update;46.7664560909;15.4994025605;5
2013-03-23;22:02:37;185;update;46.7659151769;15.4984550456;5
2013-03-23;22:02:43;185;update;46.7652613182;15.4974096328;5
2013-03-23;22:02:48;185;update;46.7647521574;15.4966311908;5
2013-03-23;22:02:54;185;update;46.7643314313;15.4955905505;5
2013-03-23;22:02:59;185;update;46.7642618199;15.494983858;5
2013-03-23;22:03:05;185;update;46.7640225342;15.4943533601;5
2013-03-23;22:03:11;185;update;46.7635081001;15.4934699896;5
2013-03-23;22:03:17;185;update;46.7627189047;15.4930944399;5
2013-03-23;22:03:22;185;update;46.7620401024;15.4930271414;5
2013-03-23;22:03:27;185;update;46.7614073788;15.4924984883;5
2013-03-23;22:03:33;185;update;46.7607188794;15.4917189282;5
2013-03-23;22:03:39;185;update;46.7603361071;15.4905224228;5
2013-03-23;22:03:45;185;update;46.7600610971;15.4894070633;5
2013-03-23;22:03:50;185;update;46.7595993823;15.4885465248;5
2013-03-23;22:03:56;185;update;46.7588384142;15.487653815;5
2013-03-23;22:04:01;185;update;46.7580201211;15.4869378721;5
2013-03-23;22:04:06;185;update;46.7570558573;15.4861470603;5
2013-03-23;22:04:12;185;update;46.7560414241;15.4846286489;5
2013-03-23;22:04:17;185;update;46.755607407;15.4827872028;5
2013-03-23;22:04:23;185;update;46.7551067439;15.4805265451;5
2013-03-23;22:04:28;185;update;46.7752252;15.5078138;5
2013-03-23;22:04:34;185;update;46.7528399915;15.4775060326;5
2013-03-23;22:04:39;185;update;46.7519448221;15.4760417437;5
2013-03-23;22:04:44;185;update;46.7510740823;15.4746807114;5
2013-03-23;22:04:50;185;update;46.7497057443;15.4737606335;5
2013-03-23;22:04:56;185;update;46.7483483681;15.4729418874;5
2013-03-23;22:05:01;185;update;46.7471812522;15.4725962342;5
2013-03-23;22:05:06;185;update;46.7460787048;15.4720519026;5
2013-03-23;22:05:12;185;update;46.7451153896;15.4706617158;5
2013-03-23;22:05:17;185;update;46.7445896179;15.4694781333;5
2013-03-23;22:05:22;185;update;46.7441921411;15.4684325792;5
2013-03-23;22:05:28;185;update;46.7432277922;15.4676444959;5
2013-03-23;22:05:34;185;update;46.7422245284;15.4666224393;5
2013-03-23;22:05:40;185;update;46.7413015179;15.4653323542;5
2013-03-23;22:05:46;185;update;46.7403213697;15.464162358;5
2013-03-23;22:05:51;185;update;46.7395192416;15.4630740188;5
2013-03-23;22:05:57;185;update;46.7384343142;15.4616650039;5
2013-03-23;22:06:03;185;update;46.7374003694;15.4602905851;5
2013-03-23;22:06:08;185;update;46.7752252;15.5078138;5
2013-03-23;22:06:14;185;update;46.7360885841;15.4569074374;5
2013-03-23;22:06:20;185;update;46.7355015903;15.4551744728;5
2013-03-23;22:06:25;185;update;46.7350027232;15.4539486302;5
2013-03-23;22:06:30;185;update;46.734561446;15.4528641311;5
2013-03-23;22:06:36;185;update;46.7341252647;15.4517003877;5
2013-03-23;22:06:41;185;update;46.7340907;15.4506658348;5
2013-03-23;22:06:47;185;update;46.734506646;15.4495050356;5
2013-03-23;22:06:52;185;update;46.734882227;15.4485662389;5
2013-03-23;22:06:58;185;update;46.7353004819;15.4474465451;5
2013-03-23;22:07:03;185;update;46.7357122657;15.4466540045;5
2013-03-23;22:07:08;185;update;46.7752252;15.5078138;5
2013-03-23;22:07:14;185;update;46.736535201;15.4449686848;5
2013-03-23;22:07:19;185;update;46.7370071755;15.4444311242;5
2013-03-23;22:07:25;185;update;46.7374739823;15.4436603872;5
2013-03-23;22:07:30;185;update;46.7374912641;15.442939737;5
2013-03-23;22:07:35;185;update;46.7371521048;15.4423654887;5
2013-03-23;22:07:41;185;update;46.736782723;15.4418747004;5
2013-03-23;22:07:47;185;update;46.7361633137;15.4413906808;5
2013-03-23;22:07:53;185;update;46.7354539914;15.4409131551;5
2013-03-23;22:07:59;185;update;46.7347994937;15.4400543696;5
2013-03-23;22:08:05;185;update;46.7340083144;15.439476278;5
2013-03-23;22:08:11;185;update;46.7332426521;15.438862158;5
2013-03-23;22:08:17;185;update;46.7325477801;15.438060623;5
2013-03-23;22:08:23;185;update;46.7316787904;15.4368850681;5
2013-03-23;22:08:28;185;update;46.7310129964;15.4356216545;5
2013-03-23;22:08:34;185;update;46.73025719;15.4339156683;5
2013-03-23;22:08:40;185;update;46.7295035796;15.4322509448;5
2013-03-23;22:08:46;185;update;46.728937781;15.4306918159;5
2013-03-23;22:08:51;185;update;46.7282482992;15.4294842982;5
2013-03-23;22:08:56;185;update;46.7275184856;15.4281787394;5
2013-03-23;22:09:02;185;update;46.7268480933;15.4265184855;5
2013-03-23;22:09:07;185;update;46.7264274127;15.4250297302;5
2013-03-23;22:09:13;185;update;46.7257306748;15.423360623;5
2013-03-23;22:09:18;185;update;46.7249810625;15.4220609433;5
2013-03-23;22:09:23;185;update;46.7241925004;15.4208931793;5
2013-03-23;22:09:29;185;update;46.7752252;15.5078138;5
2013-03-23;22:09:34;185;update;46.7229446409;15.418795801;5
2013-03-23;22:09:40;185;update;46.7223695779;15.4179258859;5
2013-03-23;22:09:45;185;update;46.7220643691;15.417041751;5
2013-03-23;22:09:51;185;update;46.7218584578;15.4154897748;5
2013-03-23;22:09:57;185;update;46.7215102965;15.4136696034;5
2013-03-23;22:10:02;185;update;46.7209753877;15.412349303;5
2013-03-23;22:10:08;185;update;46.7201575704;15.4110283658;5
2013-03-23;22:10:14;185;update;46.7192147717;15.409928563;5
2013-03-23;22:10:19;185;update;46.7185895721;15.4091079497;5
2013-03-23;22:10:25;185;update;46.7182711873;15.408532498;5
2013-03-23;22:10:31;185;update;46.7177300832;15.4083570857;5
2013-03-23;22:10:36;185;update;46.7172585967;15.4075166924;5
2013-03-23;22:10:42;185;update;46.7167930754;15.406241921;5
2013-03-23;22:10:48;185;update;46.7158724221;15.4057873725;5
2013-03-23;22:10:53;185;update;46.7146542524;15.4049131396;5
2013-03-23;22:10:58;185;update;46.7138378949;15.4036321796;5
2013-03-23;22:11:04;185;update;46.7130191122;15.4019747446;5
2013-03-23;22:11:09;185;update;46.7122910282;15.4007869368;5
2013-03-23;22:11:15;185;update;46.7111659811;15.3997334091;5
2013-03-23;22:11:20;185;update;46.7100439009;15.3990784291;5
2013-03-23;22:11:26;185;update;46.7088611868;15.3979707709;5
2013-03-23;22:12:27;185;update;46.7752252;15.5078138;6
2013-03-23;22:12:33;185;update;46.7000474858;15.3923789413;6
2013-03-23;22:12:42;185;update;46.7002109971;15.3924119483;6
2013-03-23;22:12:50;185;update;46.7000849485;15.3923622673;6
2013-03-23;22:13:07;185;update;46.7752252;15.5078138;6
2013-03-23;22:13:23;185;update;46.6998809716;15.3924689055;6
2013-03-23;22:13:28;185;update;46.6998111949;15.3926869667;6
2013-03-23;22:13:34;185;update;46.6994960366;15.3930234319;6
2013-03-23;22:13:40;185;update;46.6991979592;15.3935616182;6
2013-03-23;22:13:46;185;update;46.6989809306;15.3940578571;6
2013-03-23;22:13:52;185;update;46.698797887;15.3948525726;6
2013-03-23;22:13:57;185;update;46.6983030857;15.3956393568;6
2013-03-23;22:14:03;185;update;46.6972898339;15.3964556511;6
2013-03-23;22:14:08;185;update;46.6963879229;15.3967988944;6
