date;time;notes;name;lat;lon;comment
2013-03-21;16:39:01;188;login;46.6768777;15.4146885;5
2013-03-21;16:39:09;188;update;46.6830603725;15.415022522;5
2013-03-21;16:39:16;188;update;46.6831357534;15.4151975546;5
2013-03-21;16:39:25;188;update;46.6831357534;15.4151975546;5
2013-03-21;16:40:48;188;update;46.6831357534;15.4151975546;5
2013-03-21;16:41:26;188;update;46.6829509609;15.4152149294;5
2013-03-21;16:42:13;188;update;46.6829509609;15.4152149294;5
2013-03-21;16:42:22;188;update;46.6829509609;15.4152149294;5
2013-03-21;16:42:23;188;update;46.6830256723;15.4152262941;5
2013-03-21;16:43:06;188;update;46.6831069465;15.4151088398;5
2013-03-21;16:44:37;188;update;46.6831013478;15.4151718508;5
2013-03-21;16:45:13;188;update;46.6830509578;15.4151174432;5
2013-03-21;16:45:46;188;update;46.6830186493;15.415051345;5
2013-03-21;16:45:48;188;update;46.6830214627;15.4150457305;5
2013-03-21;16:45:54;188;update;46.6829521659;15.4150668886;5
2013-03-21;16:47:07;188;update;46.6830476222;15.4150505906;5
2013-03-21;16:48:36;188;update;46.6828969107;15.4150522271;5
2013-03-21;16:49:01;188;update;46.6828766641;15.4150604278;5
2013-03-21;16:49:04;188;update;46.6829049717;15.4150527931;5
2013-03-21;16:49:45;188;update;46.6829379858;15.4150084027;5
