date;time;notes;name;lat;lon;comment
2013-03-23;19:14:56;179;login;46.7863664;15.5580784;5
2013-03-23;19:15:02;179;update;46.7863310664;15.5552637949;5
2013-03-23;19:15:26;179;update;46.7863736479;15.5553666761;5
2013-03-23;19:15:32;179;update;46.7864061517;15.5557393655;5
2013-03-23;19:15:38;179;update;46.7864585829;15.5562043643;5
2013-03-23;19:15:44;179;update;46.7865478509;15.5565850973;5
2013-03-23;19:15:49;179;update;46.7865923486;15.5569418923;5
2013-03-23;19:15:54;179;update;46.7866505544;15.5573273203;5
2013-03-23;19:16:00;179;update;46.7867219196;15.5577744764;5
2013-03-23;19:16:06;179;update;46.7867174786;15.5580906411;5
2013-03-23;19:16:14;179;update;46.7867509609;15.5583398439;5
2013-03-23;19:16:20;179;update;46.7869792723;15.558023136;5
2013-03-23;19:16:25;179;update;46.7872648474;15.5575385301;5
2013-03-23;19:16:31;179;update;46.7875378942;15.5571063355;5
2013-03-23;19:16:36;179;update;46.7878105305;15.5566553048;5
2013-03-23;19:16:42;179;update;46.7880660539;15.5561474953;5
2013-03-23;19:16:47;179;update;46.7883798429;15.5556376305;5
2013-03-23;19:16:52;179;update;46.7886505816;15.5552683519;5
2013-03-23;19:16:58;179;update;46.7889084392;15.5549023633;5
2013-03-23;19:17:06;179;update;46.7890231644;15.554883497;5
2013-03-23;19:17:12;179;update;46.7891652214;15.5554053324;5
2013-03-23;19:17:18;179;update;46.7893209053;15.55631065;5
2013-03-23;19:17:24;179;update;46.7894907036;15.5571509895;5
2013-03-23;19:17:29;179;update;46.7896092278;15.5578142253;5
2013-03-23;19:17:35;179;update;46.7897611715;15.5586438476;5
2013-03-23;19:17:40;179;update;46.7898878411;15.5592981987;5
2013-03-23;19:17:45;179;update;46.790042071;15.5599842693;5
2013-03-23;19:17:51;179;update;46.7902181606;15.5607519379;5
2013-03-23;19:17:57;179;update;46.7904011415;15.5614845786;5
2013-03-23;19:18:03;179;update;46.7905354828;15.5620803345;5
2013-03-23;19:18:08;179;update;46.7904295969;15.5623933389;5
2013-03-23;19:18:14;179;update;46.7907023555;15.5626217795;5
2013-03-23;19:18:19;179;update;46.791130865;15.5622957009;5
2013-03-23;19:18:25;179;update;46.7919437065;15.5621227768;5
2013-03-23;19:18:31;179;update;46.7928999657;15.5617323217;5
2013-03-23;19:18:37;179;update;46.7938743696;15.5612610225;5
2013-03-23;19:18:43;179;update;46.7948743405;15.5606688909;5
2013-03-23;19:18:49;179;update;46.7958347489;15.5600693911;5
2013-03-23;19:18:54;179;update;46.7965650892;15.5595248569;5
2013-03-23;19:19:00;179;update;46.7973306087;15.5588394976;5
2013-03-23;19:19:05;179;update;46.7977363062;15.5585726944;5
2013-03-23;19:19:11;179;update;46.7980102991;15.5582191481;5
2013-03-23;19:19:16;179;update;46.7984815772;15.5578058968;5
2013-03-23;19:19:22;179;update;46.7992511609;15.5571616081;5
2013-03-23;19:19:27;179;update;46.7999897461;15.5565640567;5
2013-03-23;19:19:32;179;update;46.8007580171;15.5559787945;5
2013-03-23;19:19:38;179;update;46.8017047299;15.5553781423;5
2013-03-23;19:19:44;179;update;46.8025812382;15.5548198516;5
2013-03-23;19:19:49;179;update;46.8030360954;15.5545304835;5
2013-03-23;19:19:54;179;update;46.8033513005;15.554527757;5
2013-03-23;19:19:59;179;update;46.8032953461;15.554158249;5
2013-03-23;19:20:05;179;update;46.8029765315;15.5534577482;5
2013-03-23;19:20:10;179;update;46.8026264919;15.5524848715;5
2013-03-23;19:20:16;179;update;46.7863664;15.5580784;5
2013-03-23;19:20:21;179;update;46.8017392514;15.5498387986;5
2013-03-23;19:20:26;179;update;46.8013047311;15.5485644759;5
2013-03-23;19:20:32;179;update;46.8007952767;15.5469695847;5
2013-03-23;19:20:37;179;update;46.8003537644;15.5456771538;5
2013-03-23;19:20:42;179;update;46.7999372476;15.5444327764;5
2013-03-23;19:20:48;179;update;46.799467989;15.5429848021;5
2013-03-23;19:20:53;179;update;46.7990688644;15.5418051154;5
2013-03-23;19:20:59;179;update;46.7985653257;15.5403250157;5
2013-03-23;19:21:04;179;update;46.7981515917;15.5391176176;5
2013-03-23;19:21:09;179;update;46.797839071;15.5381571066;5
2013-03-23;19:21:15;179;update;46.797751583;15.5375873382;5
2013-03-23;19:21:21;179;update;46.7975102347;15.5371293194;5
2013-03-23;19:21:26;179;update;46.7972564646;15.5363665172;5
2013-03-23;19:21:32;179;update;46.7967840173;15.5351272467;5
