date;time;notes;name;lat;lon;comment
2013-03-23;20:23:07;170;login;46.7204931;15.552689;5
2013-03-23;20:23:13;170;update;46.7179610082;15.5355773223;5
2013-03-23;20:23:18;170;update;46.7183234129;15.5370822509;5
2013-03-23;20:23:23;170;update;46.7183385819;15.5384339768;5
2013-03-23;20:23:29;170;update;46.7181650434;15.5401863127;5
2013-03-23;20:23:34;170;update;46.7179911723;15.5416212237;5
2013-03-23;20:23:40;170;update;46.7182895044;15.5432898683;5
2013-03-23;20:23:45;170;update;46.7184497474;15.5445932453;5
2013-03-23;20:23:50;170;update;46.7185521429;15.5457624983;5
2013-03-23;20:23:56;170;update;46.7186629572;15.5469480541;5
2013-03-23;20:24:01;170;update;46.7188514899;15.5477308412;5
2013-03-23;20:24:07;170;update;46.7192378751;15.5485732947;5
2013-03-23;20:24:12;170;update;46.7196349133;15.5492870354;5
2013-03-23;20:24:17;170;update;46.7199766807;15.550093552;5
2013-03-23;20:24:23;170;update;46.7203169098;15.5510069292;5
2013-03-23;20:24:28;170;update;46.7204671461;15.5518322514;5
2013-03-23;20:24:34;170;update;46.7205840217;15.5529107911;5
2013-03-23;20:24:40;170;update;46.7205857977;15.554004637;5
2013-03-23;20:24:46;170;update;46.7205051065;15.5550309159;5
2013-03-23;20:24:51;170;update;46.7204499875;15.5556470098;5
2013-03-23;20:24:57;170;update;46.72078618;15.5564934564;5
2013-03-23;20:25:03;170;update;46.7213028628;15.5576118999;5
2013-03-23;20:25:08;170;update;46.7216900751;15.5585214964;5
2013-03-23;20:25:13;170;update;46.7218527684;15.5595509978;5
2013-03-23;20:25:18;170;update;46.7217089631;15.560732396;5
2013-03-23;20:25:24;170;update;46.7216028072;15.5620010643;5
2013-03-23;20:25:29;170;update;46.7216280425;15.5628297227;5
2013-03-23;20:25:41;170;update;46.7216168206;15.5630866401;5
2013-03-23;20:27:03;170;update;46.7218974842;15.5632382799;5
2013-03-23;20:28:10;170;update;46.7216820051;15.5631795222;5
2013-03-23;20:28:28;170;update;46.7216965159;15.5633239793;5
2013-03-23;20:28:33;170;update;46.7216663233;15.5628973816;5
2013-03-23;20:28:39;170;update;46.7216165724;15.5619047879;5
2013-03-23;20:28:45;170;update;46.7215957001;15.5609172396;5
2013-03-23;20:28:50;170;update;46.7216689236;15.5601652857;5
2013-03-23;20:28:56;170;update;46.7218147631;15.5591800849;5
2013-03-23;20:29:02;170;update;46.7217050816;15.558236019;5
2013-03-23;20:29:07;170;update;46.721369053;15.5575097238;5
2013-03-23;20:29:13;170;update;46.7210065021;15.5567795197;5
2013-03-23;20:29:18;170;update;46.7207458509;15.5562258041;5
2013-03-23;20:29:24;170;update;46.7204645432;15.5555746702;5
2013-03-23;20:29:30;170;update;46.7204417447;15.5548354257;5
2013-03-23;20:29:35;170;update;46.7205347211;15.5542123456;5
2013-03-23;20:29:41;170;update;46.7205713412;15.5534656218;5
2013-03-23;20:29:46;170;update;46.7204206487;15.553214978;5
2013-03-23;20:29:52;170;update;46.7200623632;15.5530833591;5
2013-03-23;20:29:57;170;update;46.7197233871;15.5530459202;5
2013-03-23;20:30:03;170;update;46.7194320081;15.5528188843;5
2013-03-23;20:30:08;170;update;46.7192709345;15.5525491886;5
2013-03-23;20:30:14;170;update;46.7191249836;15.5524985255;5
2013-03-23;20:30:21;170;update;46.7188746602;15.5528861868;5
2013-03-23;20:30:32;170;update;46.7187331612;15.5529238759;5
2013-03-23;20:30:59;170;update;46.7186298976;15.5528800245;5
2013-03-23;20:31:12;170;update;46.7186337773;15.5529701931;5
2013-03-23;20:31:20;170;update;46.7186304444;15.5530168256;5
2013-03-23;20:31:33;170;update;46.7186618609;15.5530504129;5
2013-03-23;20:31:47;170;update;46.7186795038;15.5529735283;5
2013-03-23;20:31:57;170;update;46.7187417359;15.5528528385;5
2013-03-23;20:32:22;170;update;46.7186974713;15.5528761118;5
2013-03-23;20:34:05;170;update;46.7186508467;15.5528643101;5
2013-03-23;20:34:48;170;update;46.7185877473;15.5527523763;5
2013-03-23;20:35:23;170;update;46.7185905258;15.5526323026;5
2013-03-23;20:35:36;170;update;46.7185716749;15.5526311099;5
2013-03-23;20:35:51;170;update;46.7185104124;15.5525400897;5
2013-03-23;20:36:05;170;update;46.7184465884;15.5524559162;5
2013-03-23;20:36:38;170;update;46.7184485435;15.5525553538;5
2013-03-23;20:37:37;170;update;46.7185384942;15.5525926864;5
2013-03-23;20:37:53;170;update;46.718654828;15.5526251449;5
2013-03-23;20:38:06;170;update;46.7187072685;15.5526204182;5
2013-03-23;20:38:17;170;update;46.7187425877;15.5527260376;5
2013-03-23;20:39:22;170;update;46.7186720632;15.5527326731;5
2013-03-23;20:39:30;170;update;46.7186573397;15.552765439;5
2013-03-23;20:39:38;170;update;46.7186039441;15.5526641495;5
2013-03-23;20:40:16;170;update;46.7186400434;15.5526564131;5
2013-03-23;20:40:26;170;update;46.718717885;15.552768914;5
2013-03-23;20:40:34;170;update;46.7187706721;15.5528484938;5
2013-03-23;20:41:05;170;update;46.718834082;15.5530027471;5
2013-03-23;20:43:32;170;update;46.7188272169;15.5529164918;5
2013-03-23;20:44:02;170;update;46.7188272169;15.5529164918;5
2013-03-23;20:44:48;170;update;46.7187863654;15.5527019417;5
2013-03-23;20:44:56;170;update;46.7186524536;15.5524891147;5
2013-03-23;20:45:05;170;update;46.7185808861;15.5524331057;5
2013-03-23;20:45:15;170;update;46.7185087273;15.5524276043;5
2013-03-23;20:45:45;170;update;46.7185491034;15.5525335707;5
2013-03-23;20:46:11;170;update;46.7185850093;15.552697003;5
2013-03-23;20:46:20;170;update;46.7187566246;15.5528680701;5
2013-03-23;20:46:37;170;update;46.7188499714;15.5528357913;5
2013-03-23;20:47:09;170;update;46.7188283358;15.5527806088;5
2013-03-23;20:47:17;170;update;46.7187821344;15.552748103;5
2013-03-23;20:47:32;170;update;46.7187756369;15.552768468;5
2013-03-23;20:47:54;170;update;46.7187372802;15.5527887857;5
2013-03-23;20:49:43;170;update;46.71868046;15.5527517222;5
2013-03-23;20:49:48;170;update;46.7187515331;15.5525253312;5
2013-03-23;20:49:55;170;update;46.7190312884;15.5521621827;5
2013-03-23;20:50:01;170;update;46.7193096732;15.5525675064;5
2013-03-23;20:50:06;170;update;46.7196428114;15.5530869876;5
2013-03-23;20:50:12;170;update;46.7202104907;15.5531848303;5
2013-03-23;20:50:21;170;update;46.7205354259;15.5534098209;5
2013-03-23;20:50:27;170;update;46.7205564439;15.5539375657;5
2013-03-23;20:50:32;170;update;46.7200223002;15.5540781493;5
2013-03-23;20:50:38;170;update;46.7190592817;15.5541146497;5
